CARRETERA,TRAMO,KILOMETRO,DIAS DE LA SEMANA,SENTIDO,HORA,Tipo,Tipo vehículo,LOCALIDAD_ORIGEN,ESTADO-ORIGEN,CLAVE POBLACION-ORIGEN,LOCALIDAD_DESTINO,ESTADO-DESTINO,CLAVE POBLACION-DESTINO,Clave marca,Marca,AÑO,Clase combustible,Pasajeros,Tripulantes,Motivo de viaje,Clave carga,Carga,Cantidad,Unidad,Tonelada,Mercado,W 1,W 2,W 3,W 4,W 5,W 6,W 7,W 8,W 9,Fecha de inicio,Fecha de terminación
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,A,AUTOMOVIL PARTICULAR,Heroica Puebla de Zaragoza,PUE,21 114 0001,Tecamachalco,PUE,21 154 0001,M504,AUTOMOVIL JETTA,2013,GASOLINA,2,,Trabajo,,,,,,,,,,,,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,U,VEHICULO UTILITARIO,Heroica Puebla de Zaragoza,PUE,21 114 0001,Cuapiaxtla de Madero,PUE,21 038 0001,U005,PICK UP NISSAN,1986,GASOLINA,,2,Trabajo,,,,,,,,,,,,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,11,TRACTOR DE 3 EJES SEMIRREMOLQUE DE 2 EJES,Victoria de Durango,DGO,10 005 0001,San Salvador Huixcolotla,PUE,21 144 0001,W112,CAMION INTERNACIONAL,1990,DIESEL,,1,Trabajo,2039,FRUTA FRESCA NO ESPECIFICADA,22,TONELADAS,22,MERCADO INTERNO,5651,8520,8905,8546,9803,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,U,VEHICULO UTILITARIO,Heroica Puebla de Zaragoza,PUE,21 114 0001,Tepeaca,PUE,21 164 0001,U004,PICK UP CHEVROLET,1996,GASOLINA,,2,Trabajo,,,,,,,,,,,,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,U,VEHICULO UTILITARIO,Heroica Puebla de Zaragoza,PUE,21 114 0001,Tepeaca,PUE,21 164 0001,U004,PICK UP CHEVROLET,1997,GASOLINA,,3,Trabajo,,,,,,,,,,,,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,A,AUTOMOVIL PARTICULAR,Heroica Puebla de Zaragoza,PUE,21 114 0001,Tecamachalco,PUE,21 154 0001,C401,AUTOMOVIL CHEVY,2001,GASOLINA,1,,Trabajo,,,,,,,,,,,,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,U,VEHICULO UTILITARIO,Benito Juárez,D F,09 014 0001,Tehuacan,PUE,21 156 0001,U004,PICK UP CHEVROLET,2005,GASOLINA,,2,Trabajo,,,,,,,,,,,,,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,12,TRACTOR DE 3 EJES SEMIRREMOLQUE DE 3 EJES,Heroica Puebla de Zaragoza,PUE,21 114 0001,Tepexi de Rodriguez,PUE,21 169 0001,W113,CAMION KENWORTH,2008,DIESEL,,1,Trabajo,7186,CEMENTO A GRANEL O EN BULTOS,3,TONELADAS,3,MERCADO INTERNO,5464,5907,5154,3060,3714,4275,,,,2013-08-20,2013-08-23
Puebla - Tehuacán,Puebla - Tepeaca,18.2,2,1,0,11,TRACTOR DE 3 EJES SEMIRREMOLQUE DE 2 EJES,Acapulco de Juárez,GRO,12 001 0001,Tepeaca,PUE,21 164 0001,W121,CAMION FREIGHLINER,1996,DIESEL,,1,Trabajo,7294,HARINAS NO ESPECIFICADAS,25,TONELADAS,25,MERCADO INTERNO,4693,11225,10395,9279,8652,,,,,2013-08-20,2013-08-23
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
